/Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/center_2022_05_12_17_14_54_020.jpg, /Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/left_2022_05_12_17_14_54_020.jpg, /Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/right_2022_05_12_17_14_54_020.jpg, 0, 0, 0, 7.770476E-05
/Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/center_2022_05_12_17_14_54_126.jpg, /Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/left_2022_05_12_17_14_54_126.jpg, /Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/right_2022_05_12_17_14_54_126.jpg, 0, 0, 0, 7.854285E-05
/Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/center_2022_05_12_17_14_54_227.jpg, /Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/left_2022_05_12_17_14_54_227.jpg, /Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/right_2022_05_12_17_14_54_227.jpg, 0, 0, 0, 8.489938E-05
/Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/center_2022_05_12_17_14_54_338.jpg, /Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/left_2022_05_12_17_14_54_338.jpg, /Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/right_2022_05_12_17_14_54_338.jpg, 0, 0, 0, 8.125306E-05
/Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/center_2022_05_12_17_14_54_439.jpg, /Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/left_2022_05_12_17_14_54_439.jpg, /Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/right_2022_05_12_17_14_54_439.jpg, 0, 0, 0, 8.236251E-05
/Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/center_2022_05_12_17_14_54_539.jpg, /Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/left_2022_05_12_17_14_54_539.jpg, /Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/right_2022_05_12_17_14_54_539.jpg, 0, 0, 0, 7.792887E-05
/Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/center_2022_05_12_17_14_54_656.jpg, /Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/left_2022_05_12_17_14_54_656.jpg, /Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/right_2022_05_12_17_14_54_656.jpg, 0, 0, 0, 7.805441E-05
/Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/center_2022_05_12_17_14_54_773.jpg, /Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/left_2022_05_12_17_14_54_773.jpg, /Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/right_2022_05_12_17_14_54_773.jpg, 0, 0, 0, 7.995492E-05
/Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/center_2022_05_12_17_14_54_883.jpg, /Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/left_2022_05_12_17_14_54_883.jpg, /Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/right_2022_05_12_17_14_54_883.jpg, 0, 0, 0, 7.882037E-05
/Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/center_2022_05_12_17_14_54_989.jpg, /Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/left_2022_05_12_17_14_54_989.jpg, /Users/ycyeo/Documents/Family/Zuosheng/Infocomm/Self-Driving Car/IMG/right_2022_05_12_17_14_54_989.jpg, 0, 0, 0, 7.812762E-05
